ATTRIBUTE,CATEGORY,VALUE,VALUE_LABEL,AREA_TYPE,AREA_ID,CEI_RANKING,DATA_CURRENCY,TARGET_FID,NEAR_FID,NEAR_DIST
Median Income,Demographic,41531.2064,"$41,531",CSA,69.SE,3,2021,84,31,344.1120453
Median Income,Demographic,46701.7248,"$46,702",CSA,70.SE,2,2021,85,27,1944.836202
Median Income,Demographic,51395,"$51,395",CSA,72.SE,2,2021,86,49,807.4991574
Median Income,Demographic,50849.6209,"$50,850",CSA,71.SE,2,2021,87,94,2170.568459
Median Income,Demographic,52917,"$52,917",CSA,75.SE,1,2021,88,1,2229.877051
Median Income,Demographic,54060.8621,"$54,061",CSA,76.SE,1,2021,89,13,1011.646019
Median Income,Demographic,52752,"$52,752",CSA,77.SE,1,2021,90,13,2160.161159
Median Income,Demographic,54560,"$54,560",CSA,78.SE,1,2021,91,13,3188.075485
Median Income,Demographic,58504,"$58,504",CSA,79.SE,1,2021,92,50,3296.341111
Median Income,Demographic,38594.0141,"$38,594",CSA,8.NW,3,2021,93,60,322.9868856
Median Income,Demographic,61868,"$61,868",CSA,80.SE,1,2021,94,50,1951.25306
Median Income,Demographic,62472.6718,"$62,473",CSA,81.SW,1,2021,95,96,957.9213204
Median Income,Demographic,35558,"$35,558",CSA,85.SW,4,2021,96,17,406.7626039
Median Income,Demographic,70699.7986,"$70,700",CSA,82.SW,1,2021,97,96,2405.649074
Median Income,Demographic,51456.8234,"$51,457",CSA,83.SW,2,2021,98,103,1968.861667
Median Income,Demographic,47359.4187,"$47,359",CSA,84.SW,2,2021,99,17,1226.019862
Median Income,Demographic,44516.4341,"$44,516",CSA,86.SW,3,2021,100,62,1633.142834
Median Income,Demographic,41834.3708,"$41,834",CSA,87.SW,3,2021,101,56,539.1580519
Median Income,Demographic,52678,"$52,678",CSA,89.SW,1,2021,102,6,457.4086814
Median Income,Demographic,43371.7396,"$43,372",CSA,9.NW,3,2021,103,109,914.678369
Median Income,Demographic,46463.8958,"$46,464",CSA,91.SW,2,2021,104,52,702.6619044
Median Income,Demographic,61881.4125,"$61,881",CSA,90.SW,1,2021,105,52,2690.507532
Median Income,Demographic,40614.007,"$40,614",CSA,92.SW,3,2021,106,68,318.4045147
Median Income,Demographic,41095.381,"$41,095",CSA,93.SW,3,2021,107,74,921.7434055
Median Income,Demographic,50538.9084,"$50,539",CSA,94.SW,2,2021,108,23,1095.578923
Median Income,Demographic,52066,"$52,066",CSA,95.SW,1,2021,109,6,782.7219089
Median Income,Demographic,57461,"$57,461",CSA,96.SW,1,2021,110,111,1128.809906
Median Income,Demographic,60985.159,"$60,985",CSA,97.SW,1,2021,111,108,938.3367409
Median Income,Demographic,73533.5195,"$73,534",CSA,98.SW,1,2021,112,111,944.2023993
Median Income,Demographic,46855.0043,"$46,855",CSA,99.SW,2,2021,113,98,1994.644749
