COMMUNITY_ABRV,COMMUNITY_FULL,TOTAL_POP,GLOBALID,Shape_Length,Shape_Area,DA_AREA_m2
FAI,FAIRVIEW,3675,fb7938f3-6d3c-4093-a1d9-748687b24c2f,5110.426088,1320907.57,1320907.57
CLI,CLIFF BUNGALOW,1805,c43945bf-405d-4a6f-8ad5-62ab3ac00b72,2943.853981,362948.4623,362948.4623
DIS,DISCOVERY RIDGE,4330,6e629035-2bab-4b28-92a3-ddc8d60d77d7,8515.544473,3512689.014,3512689.014
UNI,UNIVERSITY HEIGHTS,2965,fda154cb-c375-4554-b3e6-48397dbb3a71,4021.700248,817426.4702,817426.4702
BED,BEDDINGTON HEIGHTS,11295,3ed8b8e6-000e-4b68-a296-58cc05d2135a,9413.876112,3200913.26,3200913.26
QLD,QUEENSLAND,4585,67f2dc2b-539b-44c4-8ed1-a2c9f176590d,4981.0295,1558164.221,1558164.221
GAW,GARRISON WOODS,2860,cd274ec5-4d28-415b-b45c-1735cd75f3b1,3909.51331,777460.1228,777460.1228
BRT,BRITANNIA,765,1c72b3df-2577-43cc-86a9-65afb771b571,3184.508304,501858.8669,501858.8669
PIN,PINERIDGE,9850,bea716db-2bc8-48fb-831b-8e122925889d,6502.592322,2641837.236,2641837.236
PEN,PENBROOKE MEADOWS,8235,7a22b484-efba-409e-b551-9366ed360d95,5889.754449,2038342.388,2038342.388
MAC,MACEWAN GLEN,4740,52e58d0e-aaa5-444a-96a5-c6a86e60cbac,5014.431176,1418653.69,1418653.69
NGM,NORTH GLENMORE PARK,2435,d9b4759d-6a54-45d1-9770-4e19f93d1213,4868.438831,1156459.399,1156459.399
WBN,WOODBINE,8745,910fc9d1-aee6-4979-8d9d-fba1ea6f0ec4,9466.486664,3165903.046,3165903.046
RUN,RUNDLE,10545,bf25b7a5-9708-48c6-be01-93bf256a82d4,6502.157462,2642520.565,2642520.565
DNC,DOWNTOWN COMMERCIAL CORE,8225,ffdcca62-35a8-4670-9853-925fd0eaf8d4,5315.620163,1329077.98,1329077.98
CHW,CHARLESWOOD,3595,2bf5970b-ef1a-4cb6-81a4-0d5d88e3bbbf,8436.175416,1831584.059,1831584.059
YKV,YORKVILLE,715,57c2963d-e7c5-4c71-93cb-d8370a7387a9,6477.324763,1973371.735,1973371.735
BRA,BRAESIDE,5700,94dd0bf1-3727-41c9-b1f4-c47a714cb87a,5665.47336,1961883.798,1961883.798
SDC,SUNDANCE,9590,1c55295a-7186-446f-b7e2-bd3a6190072e,9162.851447,3981192.039,3981192.039
RUT,RUTLAND PARK,2140,3ba02b5b-c03e-4c17-a69b-9f258b0740e5,4324.118226,681410.6004,681410.6004
DNW,DOWNTOWN WEST END,2825,665fbbe2-252b-4040-a8d1-0a6303f80002,2807.899832,364636.6451,364636.6451
HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,2470,b1ce5017-a693-450d-af6c-aed47d2b18b7,4711.311511,1179971.382,1179971.382
GRE,GREENWOOD/GREENBRIAR,1055,b4e98b60-9d1c-48e6-8730-76111c902457,4932.538869,1190862.049,1190862.049
COU,COUNTRY HILLS,3660,ae972309-4c24-4024-9fd6-dfef91f2a2d7,7444.45267,1889208.169,1889208.169
OGD,OGDEN,8315,0cebb1fe-b1f4-4e5b-8e86-27eae5a62e0c,8912.347177,4140631.657,4140631.657
SCE,SCENIC ACRES,7850,4386f9f6-7a01-40ba-9391-6be0ef5f80bd,10948.73318,4436373.317,4436373.317
SAN,SANDSTONE VALLEY,5795,f000dfc7-0c46-4951-b56f-f95d5bb70199,5468.325632,1801131.236,1801131.236
DIA,DIAMOND COVE,625,8f3a5ef8-86f5-45c8-9e05-2b913a77eb58,5457.599058,535540.9731,535540.9731
MRL,MARLBOROUGH,8910,5739d434-5dc0-470a-9bd9-4b6516017f23,6659.183754,2656641.976,2656641.976
UMR,UPPER MOUNT ROYAL,2735,24652d04-6124-4e97-a0a1-df16ee9ee47c,5089.982902,1275127.57,1275127.57
RED,RED CARPET,1745,2dad6f73-4344-4f81-9e44-ae441a524dca,3623.360555,563178.338,563178.338
WLD,WILDWOOD,2765,2366c4cb-b839-40d5-94ac-67db3322e4b8,8636.971362,2563951.07,2563951.07
